"DateTime","(deg F) Mean Temperature (CFSR) at Wisconsin, 2010-01-01 to 2019-03-14"
"2011-06-04:12 AM",69.9958
"2011-06-05:12 AM",63.685
"2011-06-06:12 AM",69.7023
"2011-06-07:12 AM",74.0275
"2011-06-08:12 AM",73.7001
"2011-06-09:12 AM",54.7412
"2011-06-10:12 AM",49.707
"2011-06-11:12 AM",52.3242
"2011-06-12:12 AM",53.8707
"2011-06-13:12 AM",57.8667
"2011-06-14:12 AM",60.5158
"2011-06-15:12 AM",57.5863
"2011-06-16:12 AM",59.3611
"2011-06-17:12 AM",62.8929
"2011-06-18:12 AM",63.3704
"2011-06-19:12 AM",61.3177
"2011-06-20:12 AM",60.8644
"2011-06-21:12 AM",61.8291
"2011-06-22:12 AM",60.3271
"2011-06-23:12 AM",54.435
"2011-06-24:12 AM",60.5073
"2011-06-25:12 AM",61.7607
"2011-06-26:12 AM",64.3334
"2011-06-27:12 AM",64.3278
"2011-06-28:12 AM",63.7545
"2011-06-29:12 AM",63.2903
"2011-06-30:12 AM",70.1668
"2011-07-01:12 AM",78.2812
"2011-07-02:12 AM",73.7652
"2011-07-03:12 AM",68.1327
"2011-07-04:12 AM",69.9517
"2011-07-05:12 AM",71.2609
"2011-07-06:12 AM",69.3196
"2011-07-07:12 AM",68.3685
"2011-07-08:12 AM",70.5126
"2011-07-09:12 AM",69.7777
"2011-07-10:12 AM",75.8007
"2011-07-11:12 AM",76.217
"2011-07-12:12 AM",68.2833
"2011-07-13:12 AM",62.4979
"2011-07-14:12 AM",63.6789
"2011-07-15:12 AM",71.3336
"2011-07-16:12 AM",75.0564
"2011-07-17:12 AM",79.8706
"2011-07-18:12 AM",80.9217
"2011-07-19:12 AM",78.3369
"2011-07-20:12 AM",82.9776
"2011-07-21:12 AM",78.1815
"2011-07-22:12 AM",75.0499
"2011-07-23:12 AM",75.3244
"2011-07-24:12 AM",71.5752
"2011-07-25:12 AM",70.2219
"2011-07-26:12 AM",69.6407
"2011-07-27:12 AM",69.417
"2011-07-28:12 AM",74.7361
