"DateTime","(deg F) Mean Temperature (CFSR) at Washington, 2010-01-01 to 2019-03-14"
"2011-03-06:12 AM",32.5094
"2011-03-07:12 AM",32.0153
"2011-03-08:12 AM",32.886
"2011-03-09:12 AM",37.3894
"2011-03-10:12 AM",40.0312
"2011-03-11:12 AM",35.9766
"2011-03-12:12 AM",36.0415
"2011-03-13:12 AM",37.1197
"2011-03-14:12 AM",39.1509
"2011-03-15:12 AM",39.3012
"2011-03-16:12 AM",37.501
"2011-03-17:12 AM",34.9961
"2011-03-18:12 AM",36.0106
"2011-03-19:12 AM",36.0523
"2011-03-20:12 AM",34.7324
"2011-03-21:12 AM",37.4666
"2011-03-22:12 AM",36.6143
"2011-03-23:12 AM",36.1409
"2011-03-24:12 AM",39.4203
"2011-03-25:12 AM",38.1907
"2011-03-26:12 AM",36.5371
"2011-03-27:12 AM",37.0899
"2011-03-28:12 AM",37.6318
"2011-03-29:12 AM",38.9532
"2011-03-30:12 AM",43.4701
"2011-03-31:12 AM",46.485
"2011-04-01:12 AM",43.7205
"2011-04-02:12 AM",40.1873
"2011-04-03:12 AM",37.1451
"2011-04-04:12 AM",37.7685
"2011-04-05:12 AM",38.7036
"2011-04-06:12 AM",36.6588
"2011-04-07:12 AM",34.0828
"2011-04-08:12 AM",37.789
"2011-04-09:12 AM",39.1437
"2011-04-10:12 AM",40.4967
"2011-04-11:12 AM",40.7395
"2011-04-12:12 AM",37.8111
"2011-04-13:12 AM",37.6383
"2011-04-14:12 AM",36.3726
"2011-04-15:12 AM",37.8014
"2011-04-16:12 AM",42.3685
"2011-04-17:12 AM",37.3615
"2011-04-18:12 AM",35.8471
"2011-04-19:12 AM",35.9524
"2011-04-20:12 AM",36.5248
"2011-04-21:12 AM",37.1563
"2011-04-22:12 AM",39.096
"2011-04-23:12 AM",42.5071
"2011-04-24:12 AM",41.8678
"2011-04-25:12 AM",40.0177
"2011-04-26:12 AM",40.6584
"2011-04-27:12 AM",39.8064
"2011-04-28:12 AM",38.5293
"2011-04-29:12 AM",38.6672
"2011-04-30:12 AM",41.5389
"2011-05-01:12 AM",43.3485
"2011-05-02:12 AM",42.931
"2011-05-03:12 AM",41.8107
"2011-05-04:12 AM",44.6122
"2011-05-05:12 AM",45.4161
"2011-05-06:12 AM",45.5065
"2011-05-07:12 AM",44.4186
"2011-05-08:12 AM",42.543
"2011-05-09:12 AM",45.8971
"2011-05-10:12 AM",49.4469
"2011-05-11:12 AM",48.637
"2011-05-12:12 AM",45.4347
"2011-05-13:12 AM",47.3464
"2011-05-14:12 AM",52.2934
"2011-05-15:12 AM",47.8641
"2011-05-16:12 AM",43.3731
"2011-05-17:12 AM",44.2731
"2011-05-18:12 AM",48.2027
"2011-05-19:12 AM",50.2392
"2011-05-20:12 AM",52.885
"2011-05-21:12 AM",51.6169
"2011-05-22:12 AM",48.229
"2011-05-23:12 AM",46.24
"2011-05-24:12 AM",48.9141
"2011-05-25:12 AM",48.0416
"2011-05-26:12 AM",44.5593
"2011-05-27:12 AM",44.6133
"2011-05-28:12 AM",44.5075
"2011-05-29:12 AM",47.8881
"2011-05-30:12 AM",48.8845
"2011-05-31:12 AM",49.0201
"2011-06-01:12 AM",49.0338
"2011-06-02:12 AM",47.1796
"2011-06-03:12 AM",51.5534
"2011-06-04:12 AM",56.3486
"2011-06-05:12 AM",58.9476
"2011-06-06:12 AM",58.5693
"2011-06-07:12 AM",53.5138
"2011-06-08:12 AM",49.1504
"2011-06-09:12 AM",52.3112
"2011-06-10:12 AM",54.0027
"2011-06-11:12 AM",52.3679
"2011-06-12:12 AM",53.1547
"2011-06-13:12 AM",53.8583
"2011-06-14:12 AM",52.6285
"2011-06-15:12 AM",50.6638
"2011-06-16:12 AM",49.2312
"2011-06-17:12 AM",54.0203
"2011-06-18:12 AM",52.4525
"2011-06-19:12 AM",54.3853
"2011-06-20:12 AM",57.1069
"2011-06-21:12 AM",59.1222
"2011-06-22:12 AM",61.1272
"2011-06-23:12 AM",55.121
"2011-06-24:12 AM",51.6173
"2011-06-25:12 AM",52.61
"2011-06-26:12 AM",55.4526
"2011-06-27:12 AM",59.9509
"2011-06-28:12 AM",62.1523
"2011-06-29:12 AM",59.2084
"2011-06-30:12 AM",54.1773
"2011-07-01:12 AM",55.2861
"2011-07-02:12 AM",60.0744
"2011-07-03:12 AM",60.858
"2011-07-04:12 AM",59.8649
"2011-07-05:12 AM",63.111
"2011-07-06:12 AM",66.3006
"2011-07-07:12 AM",63.369
"2011-07-08:12 AM",55.5427
"2011-07-09:12 AM",55.7856
"2011-07-10:12 AM",58.5536
"2011-07-11:12 AM",59.8471
"2011-07-12:12 AM",58.1522
"2011-07-13:12 AM",57.8748
"2011-07-14:12 AM",55.5305
"2011-07-15:12 AM",58.6413
"2011-07-16:12 AM",59.7857
"2011-07-17:12 AM",59.8676
"2011-07-18:12 AM",61.2849
"2011-07-19:12 AM",56.3619
"2011-07-20:12 AM",58.1013
"2011-07-21:12 AM",57.6835
"2011-07-22:12 AM",56.6368
"2011-07-23:12 AM",60.0512
"2011-07-24:12 AM",66.2376
"2011-07-25:12 AM",63.095
"2011-07-26:12 AM",59.9416
"2011-07-27:12 AM",59.8285
"2011-07-28:12 AM",61.7979
"2011-07-29:12 AM",63.8263
"2011-07-30:12 AM",65.293
"2011-07-31:12 AM",64.254
"2011-08-01:12 AM",63.448
"2011-08-02:12 AM",63.5007
"2011-08-03:12 AM",64.1251
"2011-08-04:12 AM",66.7467
"2011-08-05:12 AM",65.4638
"2011-08-06:12 AM",63.4026
"2011-08-07:12 AM",63.7722
"2011-08-08:12 AM",63.9207
"2011-08-09:12 AM",61.8069
"2011-08-10:12 AM",60.267
"2011-08-11:12 AM",60.2737
"2011-08-12:12 AM",62.2087
"2011-08-13:12 AM",63.1839
"2011-08-14:12 AM",60.415
"2011-08-15:12 AM",59.8222
"2011-08-16:12 AM",60.1275
"2011-08-17:12 AM",60.9715
"2011-08-18:12 AM",61.099
"2011-08-19:12 AM",62.6531
"2011-08-20:12 AM",67.1409
"2011-08-21:12 AM",67.9872
"2011-08-22:12 AM",66.1327
"2011-08-23:12 AM",66.4686
"2011-08-24:12 AM",66.6975
"2011-08-25:12 AM",68.5699
"2011-08-26:12 AM",69.8743
"2011-08-27:12 AM",69.386
