"DateTime","(deg F) Mean Temperature (CFSR) at Indiana, 2010-01-01 to 2019-03-14"
"2010-08-27:12 AM",66.6633
"2010-08-28:12 AM",72.3771
"2010-08-29:12 AM",80.4159
"2010-08-30:12 AM",78.6641
"2010-08-31:12 AM",80.1502
"2010-09-01:12 AM",79.4219
"2010-09-02:12 AM",75.2023
"2010-09-03:12 AM",71.685
"2010-09-04:12 AM",61.745
"2010-09-05:12 AM",60.5235
"2010-09-06:12 AM",73.0423
"2010-09-07:12 AM",78.4576
"2010-09-08:12 AM",65.9926
"2010-09-09:12 AM",61.2261
"2010-09-10:12 AM",63.1764
"2010-09-11:12 AM",64.7055
"2010-09-12:12 AM",65.5907
"2010-09-13:12 AM",72.6517
"2010-09-14:12 AM",68.8131
"2010-09-15:12 AM",71.2024
"2010-09-16:12 AM",71.0683
"2010-09-17:12 AM",62.6902
"2010-09-18:12 AM",67.7095
"2010-09-19:12 AM",68.1915
"2010-09-20:12 AM",72.5371
"2010-09-21:12 AM",78.9129
"2010-09-22:12 AM",74.3959
"2010-09-23:12 AM",78.1248
"2010-09-24:12 AM",78.2805
"2010-09-25:12 AM",61.3787
"2010-09-26:12 AM",55.9396
"2010-09-27:12 AM",55.0258
"2010-09-28:12 AM",55.1732
"2010-09-29:12 AM",56.7466
"2010-09-30:12 AM",62.6652
"2010-10-01:12 AM",56.7768
"2010-10-02:12 AM",53.1925
"2010-10-03:12 AM",49.2899
"2010-10-04:12 AM",47.2354
"2010-10-05:12 AM",49.7116
"2010-10-06:12 AM",56.7662
"2010-10-07:12 AM",62.9821
"2010-10-08:12 AM",60.5496
"2010-10-09:12 AM",64.81
"2010-10-10:12 AM",68.1838
"2010-10-11:12 AM",69.3829
"2010-10-12:12 AM",66.864
"2010-10-13:12 AM",61.4566
"2010-10-14:12 AM",54.3115
"2010-10-15:12 AM",55.3789
"2010-10-16:12 AM",52.9817
"2010-10-17:12 AM",59.4921
"2010-10-18:12 AM",54.0896
"2010-10-19:12 AM",49.5394
"2010-10-20:12 AM",53.7915
"2010-10-21:12 AM",53.4126
"2010-10-22:12 AM",48.9742
"2010-10-23:12 AM",64.7125
"2010-10-24:12 AM",69.0107
"2010-10-25:12 AM",67.611
"2010-10-26:12 AM",63.743
"2010-10-27:12 AM",58.6159
"2010-10-28:12 AM",47.6125
"2010-10-29:12 AM",39.6086
"2010-10-30:12 AM",47.8566
"2010-10-31:12 AM",46.9708
"2010-11-01:12 AM",44.1199
"2010-11-02:12 AM",43.315
"2010-11-03:12 AM",43.8076
"2010-11-04:12 AM",44.7337
"2010-11-05:12 AM",39.5204
"2010-11-06:12 AM",33.2555
"2010-11-07:12 AM",41.2875
"2010-11-08:12 AM",50.882
"2010-11-09:12 AM",53.6126
"2010-11-10:12 AM",55.2083
"2010-11-11:12 AM",57.0641
"2010-11-12:12 AM",56.5896
"2010-11-13:12 AM",55.3174
"2010-11-14:12 AM",41.2657
"2010-11-15:12 AM",40.7597
"2010-11-16:12 AM",39.803
"2010-11-17:12 AM",41.5688
"2010-11-18:12 AM",40.165
"2010-11-19:12 AM",38.4964
"2010-11-20:12 AM",42.8626
"2010-11-21:12 AM",53.1072
"2010-11-22:12 AM",63.0444
"2010-11-23:12 AM",43.7689
"2010-11-24:12 AM",32.8314
"2010-11-25:12 AM",46.3969
"2010-11-26:12 AM",28.5595
"2010-11-27:12 AM",30.1332
"2010-11-28:12 AM",32.1046
"2010-11-29:12 AM",40.9161
"2010-11-30:12 AM",44.5404
"2010-12-01:12 AM",28.1221
"2010-12-02:12 AM",28.4117
"2010-12-03:12 AM",29.0718
"2010-12-04:12 AM",29.7162
"2010-12-05:12 AM",27.6787
"2010-12-06:12 AM",20.3657
"2010-12-07:12 AM",19.2173
"2010-12-08:12 AM",19.4355
"2010-12-09:12 AM",22.9833
"2010-12-10:12 AM",33.2987
"2010-12-11:12 AM",37.7096
"2010-12-12:12 AM",27.2395
"2010-12-13:12 AM",20.0982
"2010-12-14:12 AM",17.1423
"2010-12-15:12 AM",17.8144
"2010-12-16:12 AM",23.0173
"2010-12-17:12 AM",22.062
"2010-12-18:12 AM",18.6701
"2010-12-19:12 AM",20.4658
"2010-12-20:12 AM",23.754
"2010-12-21:12 AM",30.9495
"2010-12-22:12 AM",29.2428
"2010-12-23:12 AM",28.2616
"2010-12-24:12 AM",28.0762
"2010-12-25:12 AM",26.0452
"2010-12-26:12 AM",23.9104
"2010-12-27:12 AM",22.7154
"2010-12-28:12 AM",21.1298
"2010-12-29:12 AM",29.3279
"2010-12-30:12 AM",39.8723
"2010-12-31:12 AM",49.7446
"2011-01-01:12 AM",40.5273
"2011-01-02:12 AM",23.7664
"2011-01-03:12 AM",27.8742
"2011-01-04:12 AM",28.9749
"2011-01-05:12 AM",25.3726
"2011-01-06:12 AM",27.9027
"2011-01-07:12 AM",24.3855
"2011-01-08:12 AM",18.0603
"2011-01-09:12 AM",17.2161
"2011-01-10:12 AM",22.7296
"2011-01-11:12 AM",24.0733
"2011-01-12:12 AM",22.9152
"2011-01-13:12 AM",19.0542
"2011-01-14:12 AM",22.2004
"2011-01-15:12 AM",27.6949
"2011-01-16:12 AM",20.8803
"2011-01-17:12 AM",24.7541
"2011-01-18:12 AM",34.9462
"2011-01-19:12 AM",26.6002
"2011-01-20:12 AM",22.8155
"2011-01-21:12 AM",8.0427
"2011-01-22:12 AM",11.8389
"2011-01-23:12 AM",14.9659
"2011-01-24:12 AM",24.9188
"2011-01-25:12 AM",27.5092
"2011-01-26:12 AM",26.1147
"2011-01-27:12 AM",24.6517
"2011-01-28:12 AM",24.9494
"2011-01-29:12 AM",32.6368
"2011-01-30:12 AM",28.0967
"2011-01-31:12 AM",22.5491
"2011-02-01:12 AM",26.2679
"2011-02-02:12 AM",23.763
