"DateTime","(deg F) Mean Temperature (CFSR) at Utah, 2010-01-01 to 2019-03-14"
"2010-11-10:12 AM",29.34
"2010-11-11:12 AM",30.2463
"2010-11-12:12 AM",29.7351
"2010-11-13:12 AM",30.1941
"2010-11-14:12 AM",30.8448
"2010-11-15:12 AM",36.7831
"2010-11-16:12 AM",37.8856
"2010-11-17:12 AM",33.7791
"2010-11-18:12 AM",37.776
"2010-11-19:12 AM",40.6449
"2010-11-20:12 AM",42.1169
"2010-11-21:12 AM",34.8163
"2010-11-22:12 AM",28.2177
"2010-11-23:12 AM",28.2285
"2010-11-24:12 AM",20.4181
"2010-11-25:12 AM",13.9703
"2010-11-26:12 AM",19.9092
"2010-11-27:12 AM",26.1734
"2010-11-28:12 AM",25.7454
"2010-11-29:12 AM",22.249
"2010-11-30:12 AM",19.6862
"2010-12-01:12 AM",28.6077
"2010-12-02:12 AM",32.7231
"2010-12-03:12 AM",37.1404
"2010-12-04:12 AM",36.4827
"2010-12-05:12 AM",35.9389
"2010-12-06:12 AM",35.2643
"2010-12-07:12 AM",32.8246
"2010-12-08:12 AM",32.8631
"2010-12-09:12 AM",36.1981
"2010-12-10:12 AM",36.7524
"2010-12-11:12 AM",34.9576
"2010-12-12:12 AM",36.844
"2010-12-13:12 AM",38.7066
"2010-12-14:12 AM",39.7225
"2010-12-15:12 AM",36.57
"2010-12-16:12 AM",25.9457
"2010-12-17:12 AM",22.1445
"2010-12-18:12 AM",31.5394
"2010-12-19:12 AM",39.2832
"2010-12-20:12 AM",37.296
"2010-12-21:12 AM",34.3965
"2010-12-22:12 AM",35.5937
"2010-12-23:12 AM",35.434
"2010-12-24:12 AM",31.6852
"2010-12-25:12 AM",29.5491
"2010-12-26:12 AM",29.5574
"2010-12-27:12 AM",27.6235
"2010-12-28:12 AM",25.6779
"2010-12-29:12 AM",29.7707
"2010-12-30:12 AM",20.6874
"2010-12-31:12 AM",13.7442
"2011-01-01:12 AM",2.9138
"2011-01-02:12 AM",9.0514
"2011-01-03:12 AM",14.4856
"2011-01-04:12 AM",15.3538
"2011-01-05:12 AM",14.936
"2011-01-06:12 AM",16.5079
"2011-01-07:12 AM",18.0739
"2011-01-08:12 AM",22.3378
"2011-01-09:12 AM",22.1922
"2011-01-10:12 AM",9.7903
"2011-01-11:12 AM",9.4127
"2011-01-12:12 AM",16.5949
"2011-01-13:12 AM",21.9789
"2011-01-14:12 AM",28.2785
"2011-01-15:12 AM",29.7124
"2011-01-16:12 AM",31.323
"2011-01-17:12 AM",35.3273
"2011-01-18:12 AM",31.1819
"2011-01-19:12 AM",30.9843
"2011-01-20:12 AM",23.5404
"2011-01-21:12 AM",26.1037
"2011-01-22:12 AM",30.6541
"2011-01-23:12 AM",25.2295
"2011-01-24:12 AM",25.3389
"2011-01-25:12 AM",28.814
"2011-01-26:12 AM",27.1762
"2011-01-27:12 AM",27.7133
"2011-01-28:12 AM",29.0237
"2011-01-29:12 AM",30.7879
"2011-01-30:12 AM",31.176
"2011-01-31:12 AM",28.4178
"2011-02-01:12 AM",16.0104
"2011-02-02:12 AM",5.317
"2011-02-03:12 AM",12.265
"2011-02-04:12 AM",22.3763
"2011-02-05:12 AM",30.4986
"2011-02-06:12 AM",27.8865
"2011-02-07:12 AM",30.0963
"2011-02-08:12 AM",25.2388
"2011-02-09:12 AM",18.2595
"2011-02-10:12 AM",19.4522
"2011-02-11:12 AM",23.2482
"2011-02-12:12 AM",28.5489
"2011-02-13:12 AM",32.2677
"2011-02-14:12 AM",33.3831
"2011-02-15:12 AM",34.2552
"2011-02-16:12 AM",35.4898
"2011-02-17:12 AM",30.8548
"2011-02-18:12 AM",30.8012
"2011-02-19:12 AM",31.3509
"2011-02-20:12 AM",27.8427
"2011-02-21:12 AM",24.4405
"2011-02-22:12 AM",26.3462
"2011-02-23:12 AM",27.5511
"2011-02-24:12 AM",28.8666
"2011-02-25:12 AM",30.2376
"2011-02-26:12 AM",30.0315
"2011-02-27:12 AM",25.5164
"2011-02-28:12 AM",26.1901
"2011-03-01:12 AM",30.8134
"2011-03-02:12 AM",34.0038
"2011-03-03:12 AM",36.4892
"2011-03-04:12 AM",32.9115
"2011-03-05:12 AM",33.6378
"2011-03-06:12 AM",35.9438
"2011-03-07:12 AM",33.8972
"2011-03-08:12 AM",30.1566
"2011-03-09:12 AM",33.3644
"2011-03-10:12 AM",39.0961
"2011-03-11:12 AM",40.7836
"2011-03-12:12 AM",40.2971
"2011-03-13:12 AM",39.8241
"2011-03-14:12 AM",42.0607
