"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2010-09-27:12 AM",64.6464
"2010-09-28:12 AM",63.9424
"2010-09-29:12 AM",65.2998
"2010-09-30:12 AM",60.474
"2010-10-01:12 AM",61.1674
"2010-10-02:12 AM",57.3775
"2010-10-03:12 AM",57.4824
"2010-10-04:12 AM",58.3205
"2010-10-05:12 AM",58.6672
"2010-10-06:12 AM",56.6483
"2010-10-07:12 AM",57.0193
"2010-10-08:12 AM",55.218
"2010-10-09:12 AM",47.7131
"2010-10-10:12 AM",47.3959
"2010-10-11:12 AM",48.3571
"2010-10-12:12 AM",47.8783
"2010-10-13:12 AM",46.3057
"2010-10-14:12 AM",50.6894
"2010-10-15:12 AM",53.8021
"2010-10-16:12 AM",52.6829
"2010-10-17:12 AM",50.7774
"2010-10-18:12 AM",47.7808
"2010-10-19:12 AM",46.2047
"2010-10-20:12 AM",48.8723
"2010-10-21:12 AM",48.2695
"2010-10-22:12 AM",45.7554
"2010-10-23:12 AM",45.3249
"2010-10-24:12 AM",45.1346
"2010-10-25:12 AM",43.7637
"2010-10-26:12 AM",33.4836
"2010-10-27:12 AM",31.3785
"2010-10-28:12 AM",35.1651
"2010-10-29:12 AM",44.483
"2010-10-30:12 AM",49.3515
"2010-10-31:12 AM",44.1635
"2010-11-01:12 AM",39.6255
"2010-11-02:12 AM",42.2298
"2010-11-03:12 AM",44.7433
"2010-11-04:12 AM",39.7467
"2010-11-05:12 AM",43.0453
"2010-11-06:12 AM",48.1204
"2010-11-07:12 AM",47.9943
"2010-11-08:12 AM",46.1921
"2010-11-09:12 AM",40.5428
"2010-11-10:12 AM",30.1753
"2010-11-11:12 AM",29.7189
"2010-11-12:12 AM",25.7551
"2010-11-13:12 AM",26.0316
"2010-11-14:12 AM",26.5818
"2010-11-15:12 AM",29.9403
"2010-11-16:12 AM",32.2392
"2010-11-17:12 AM",29.9827
"2010-11-18:12 AM",34.9214
"2010-11-19:12 AM",40.0323
"2010-11-20:12 AM",37.1341
"2010-11-21:12 AM",37.0729
"2010-11-22:12 AM",28.2061
"2010-11-23:12 AM",27.6481
"2010-11-24:12 AM",26.7991
"2010-11-25:12 AM",13.9096
"2010-11-26:12 AM",21.8962
"2010-11-27:12 AM",30.2103
"2010-11-28:12 AM",30.4714
"2010-11-29:12 AM",23.247
"2010-11-30:12 AM",18.7929
"2010-12-01:12 AM",28.0859
"2010-12-02:12 AM",34.0075
"2010-12-03:12 AM",39.6127
"2010-12-04:12 AM",33.5221
"2010-12-05:12 AM",30.3454
"2010-12-06:12 AM",31.1047
"2010-12-07:12 AM",31.3261
"2010-12-08:12 AM",30.9731
"2010-12-09:12 AM",36.435
"2010-12-10:12 AM",36.662
"2010-12-11:12 AM",29.9766
"2010-12-12:12 AM",27.6957
"2010-12-13:12 AM",36.8505
"2010-12-14:12 AM",39.4331
"2010-12-15:12 AM",37.96
"2010-12-16:12 AM",25.0572
"2010-12-17:12 AM",21.5037
"2010-12-18:12 AM",24.0928
"2010-12-19:12 AM",32.7934
"2010-12-20:12 AM",37.5748
"2010-12-21:12 AM",32.8093
"2010-12-22:12 AM",30.9987
"2010-12-23:12 AM",32.4977
"2010-12-24:12 AM",29.5975
