"DateTime","(deg F) Mean Temperature (CFSR) at Massachusetts, 2010-01-01 to 2019-03-14"
"2011-06-14:12 AM",55.2191
"2011-06-15:12 AM",60.6283
"2011-06-16:12 AM",66.9976
"2011-06-17:12 AM",63.6622
"2011-06-18:12 AM",66.0823
"2011-06-19:12 AM",64.3473
"2011-06-20:12 AM",63.4678
"2011-06-21:12 AM",66.9157
"2011-06-22:12 AM",65.2131
"2011-06-23:12 AM",61.6242
"2011-06-24:12 AM",58.917
"2011-06-25:12 AM",61.8674
"2011-06-26:12 AM",65.4276
"2011-06-27:12 AM",68.4549
"2011-06-28:12 AM",69.436
"2011-06-29:12 AM",69.6951
"2011-06-30:12 AM",67.6891
"2011-07-01:12 AM",66.0666
"2011-07-02:12 AM",67.5864
"2011-07-03:12 AM",69.8857
"2011-07-04:12 AM",72.0001
"2011-07-05:12 AM",72.0549
"2011-07-06:12 AM",73.8235
"2011-07-07:12 AM",72.7279
"2011-07-08:12 AM",69.364
"2011-07-09:12 AM",71.3781
"2011-07-10:12 AM",69.0499
"2011-07-11:12 AM",74.1799
"2011-07-12:12 AM",78.1984
"2011-07-13:12 AM",72.7815
"2011-07-14:12 AM",65.2458
"2011-07-15:12 AM",68.1035
"2011-07-16:12 AM",70.7526
"2011-07-17:12 AM",73.8948
"2011-07-18:12 AM",75.1149
"2011-07-19:12 AM",73.5033
"2011-07-20:12 AM",72.5439
"2011-07-21:12 AM",78.1943
"2011-07-22:12 AM",82.8163
"2011-07-23:12 AM",79.1517
"2011-07-24:12 AM",74.4395
"2011-07-25:12 AM",64.9954
"2011-07-26:12 AM",69.0687
"2011-07-27:12 AM",70.7585
"2011-07-28:12 AM",70.216
"2011-07-29:12 AM",71.3912
"2011-07-30:12 AM",74.3718
"2011-07-31:12 AM",71.564
"2011-08-01:12 AM",74.3889
"2011-08-02:12 AM",73.3453
"2011-08-03:12 AM",68.416
"2011-08-04:12 AM",68.1397
"2011-08-05:12 AM",67.4938
"2011-08-06:12 AM",71.6808
"2011-08-07:12 AM",71.6
"2011-08-08:12 AM",72.1155
"2011-08-09:12 AM",69.3255
"2011-08-10:12 AM",70.4646
"2011-08-11:12 AM",68.5
"2011-08-12:12 AM",66.7026
"2011-08-13:12 AM",68.684
"2011-08-14:12 AM",67.982
"2011-08-15:12 AM",65.2896
"2011-08-16:12 AM",64.2214
"2011-08-17:12 AM",68.3897
"2011-08-18:12 AM",71.8983
"2011-08-19:12 AM",72.5256
