"DateTime","(deg F) Mean Temperature (CFSR) at New Hampshire, 2010-01-01 to 2019-03-14"
"2011-01-09:12 AM",21.4167
"2011-01-10:12 AM",16.6017
"2011-01-11:12 AM",16.0563
"2011-01-12:12 AM",20.3146
"2011-01-13:12 AM",16.4854
"2011-01-14:12 AM",8.7111
"2011-01-15:12 AM",7.8552
"2011-01-16:12 AM",17.3487
"2011-01-17:12 AM",-0.2661
"2011-01-18:12 AM",12.2238
"2011-01-19:12 AM",26.2062
"2011-01-20:12 AM",9.8757
"2011-01-21:12 AM",14.5902
"2011-01-22:12 AM",0.459
"2011-01-23:12 AM",-2.1919
"2011-01-24:12 AM",-15.7842
"2011-01-25:12 AM",4.2341
"2011-01-26:12 AM",15.2137
"2011-01-27:12 AM",18.106
"2011-01-28:12 AM",7.7997
"2011-01-29:12 AM",16.4203
"2011-01-30:12 AM",11.1807
"2011-01-31:12 AM",2.2165
"2011-02-01:12 AM",8.2024
"2011-02-02:12 AM",13.2303
"2011-02-03:12 AM",6.7892
"2011-02-04:12 AM",8.379
"2011-02-05:12 AM",17.9737
"2011-02-06:12 AM",24.9267
"2011-02-07:12 AM",19.5487
"2011-02-08:12 AM",22.1409
"2011-02-09:12 AM",4.6364
"2011-02-10:12 AM",8.3215
"2011-02-11:12 AM",1.6358
"2011-02-12:12 AM",15.8581
"2011-02-13:12 AM",16.0632
"2011-02-14:12 AM",32.0745
"2011-02-15:12 AM",4.719
"2011-02-16:12 AM",14.7241
"2011-02-17:12 AM",27.6949
"2011-02-18:12 AM",35.8815
"2011-02-19:12 AM",20.872
"2011-02-20:12 AM",11.8987
"2011-02-21:12 AM",11.8776
"2011-02-22:12 AM",7.1848
"2011-02-23:12 AM",12.2923
"2011-02-24:12 AM",18.0369
"2011-02-25:12 AM",26.0114
"2011-02-26:12 AM",13.3731
"2011-02-27:12 AM",16.934
"2011-02-28:12 AM",23.3393
"2011-03-01:12 AM",13.5099
"2011-03-02:12 AM",20.0709
"2011-03-03:12 AM",-1.226
"2011-03-04:12 AM",4.2993
"2011-03-05:12 AM",29.568
"2011-03-06:12 AM",35.3754
"2011-03-07:12 AM",23.2905
"2011-03-08:12 AM",18.3798
"2011-03-09:12 AM",20.8823
"2011-03-10:12 AM",29.3119
"2011-03-11:12 AM",36.0441
"2011-03-12:12 AM",33.5379
"2011-03-13:12 AM",33.6528
"2011-03-14:12 AM",27.9538
"2011-03-15:12 AM",27.122
"2011-03-16:12 AM",30.4729
"2011-03-17:12 AM",35.589
"2011-03-18:12 AM",41.9941
"2011-03-19:12 AM",31.0152
"2011-03-20:12 AM",27.3328
"2011-03-21:12 AM",29.1117
"2011-03-22:12 AM",30.6234
"2011-03-23:12 AM",25.7958
"2011-03-24:12 AM",26.2143
"2011-03-25:12 AM",25.6964
"2011-03-26:12 AM",21.2502
"2011-03-27:12 AM",20.8096
"2011-03-28:12 AM",23.1053
"2011-03-29:12 AM",27.568
"2011-03-30:12 AM",30.9704
"2011-03-31:12 AM",33.0501
"2011-04-01:12 AM",31.0377
"2011-04-02:12 AM",33.3055
"2011-04-03:12 AM",33.3009
"2011-04-04:12 AM",32.817
"2011-04-05:12 AM",37.4578
"2011-04-06:12 AM",31.8175
"2011-04-07:12 AM",30.3224
"2011-04-08:12 AM",33.5682
"2011-04-09:12 AM",39.3139
"2011-04-10:12 AM",45.1508
"2011-04-11:12 AM",51.3777
"2011-04-12:12 AM",46.9733
"2011-04-13:12 AM",37.8651
"2011-04-14:12 AM",39.6766
"2011-04-15:12 AM",32.7549
"2011-04-16:12 AM",33.0613
"2011-04-17:12 AM",42.0265
