"DateTime","(deg F) Mean Temperature (CFSR) at Kansas, 2010-01-01 to 2019-03-14"
"2010-09-15:12 AM",77.5697
"2010-09-16:12 AM",70.3454
"2010-09-17:12 AM",74.118
"2010-09-18:12 AM",76.7817
"2010-09-19:12 AM",72.5052
"2010-09-20:12 AM",80.8246
"2010-09-21:12 AM",80.1518
"2010-09-22:12 AM",79.821
"2010-09-23:12 AM",76.7185
"2010-09-24:12 AM",68.2363
"2010-09-25:12 AM",69.6227
"2010-09-26:12 AM",59.9673
"2010-09-27:12 AM",61.9252
"2010-09-28:12 AM",68.2592
"2010-09-29:12 AM",70.981
"2010-09-30:12 AM",67.3893
"2010-10-01:12 AM",62.8097
"2010-10-02:12 AM",59.7007
"2010-10-03:12 AM",53.1203
"2010-10-04:12 AM",56.5309
"2010-10-05:12 AM",63.1092
"2010-10-06:12 AM",67.6774
"2010-10-07:12 AM",69.523
"2010-10-08:12 AM",74.0853
"2010-10-09:12 AM",68.9634
"2010-10-10:12 AM",64.3012
"2010-10-11:12 AM",59.5953
"2010-10-12:12 AM",61.9806
"2010-10-13:12 AM",57.7584
"2010-10-14:12 AM",59.3389
"2010-10-15:12 AM",63.6305
"2010-10-16:12 AM",68.3159
"2010-10-17:12 AM",62.9501
"2010-10-18:12 AM",60.6645
"2010-10-19:12 AM",55.908
"2010-10-20:12 AM",59.4496
"2010-10-21:12 AM",62.6131
"2010-10-22:12 AM",64.2065
"2010-10-23:12 AM",65.0683
"2010-10-24:12 AM",61.9453
"2010-10-25:12 AM",65.2431
"2010-10-26:12 AM",56.226
"2010-10-27:12 AM",53.6862
"2010-10-28:12 AM",48.5213
"2010-10-29:12 AM",53.4378
"2010-10-30:12 AM",59.0619
"2010-10-31:12 AM",54.6287
"2010-11-01:12 AM",50.8791
"2010-11-02:12 AM",50.589
"2010-11-03:12 AM",54.4944
"2010-11-04:12 AM",49.0492
"2010-11-05:12 AM",42.4303
"2010-11-06:12 AM",50.72
"2010-11-07:12 AM",59.8509
"2010-11-08:12 AM",61.5961
"2010-11-09:12 AM",63.2111
"2010-11-10:12 AM",52.9623
"2010-11-11:12 AM",46.5919
"2010-11-12:12 AM",43.1742
"2010-11-13:12 AM",38.9073
"2010-11-14:12 AM",41.5357
"2010-11-15:12 AM",43.4975
"2010-11-16:12 AM",44.1819
"2010-11-17:12 AM",40.8925
"2010-11-18:12 AM",36.8931
"2010-11-19:12 AM",45.7457
"2010-11-20:12 AM",41.9202
"2010-11-21:12 AM",50.304
"2010-11-22:12 AM",46.2942
"2010-11-23:12 AM",36.4435
"2010-11-24:12 AM",48.8907
"2010-11-25:12 AM",28.4248
"2010-11-26:12 AM",33.8207
"2010-11-27:12 AM",41.3501
"2010-11-28:12 AM",46.9
"2010-11-29:12 AM",43.29
"2010-11-30:12 AM",31.8933
"2010-12-01:12 AM",32.2227
"2010-12-02:12 AM",40.8855
"2010-12-03:12 AM",44.7161
"2010-12-04:12 AM",38.9032
"2010-12-05:12 AM",27.4546
"2010-12-06:12 AM",28.4693
"2010-12-07:12 AM",32.6592
"2010-12-08:12 AM",33.6349
"2010-12-09:12 AM",43.0342
"2010-12-10:12 AM",46.4347
"2010-12-11:12 AM",38.9403
"2010-12-12:12 AM",24.7498
"2010-12-13:12 AM",25.171
"2010-12-14:12 AM",30.3141
"2010-12-15:12 AM",32.338
"2010-12-16:12 AM",34.0651
"2010-12-17:12 AM",30.9927
"2010-12-18:12 AM",29.9845
"2010-12-19:12 AM",35.364
"2010-12-20:12 AM",43.8861
"2010-12-21:12 AM",38.8774
"2010-12-22:12 AM",28.8973
"2010-12-23:12 AM",29.602
"2010-12-24:12 AM",34.0156
"2010-12-25:12 AM",25.7308
"2010-12-26:12 AM",23.2882
"2010-12-27:12 AM",27.3439
"2010-12-28:12 AM",35.0586
"2010-12-29:12 AM",41.7178
"2010-12-30:12 AM",50.1703
"2010-12-31:12 AM",25.7203
"2011-01-01:12 AM",15.6454
"2011-01-02:12 AM",22.1468
"2011-01-03:12 AM",27.2692
"2011-01-04:12 AM",26.0092
"2011-01-05:12 AM",31.4305
"2011-01-06:12 AM",37.7553
"2011-01-07:12 AM",41.2576
"2011-01-08:12 AM",30.4308
"2011-01-09:12 AM",26.9775
"2011-01-10:12 AM",21.3937
"2011-01-11:12 AM",11.224
"2011-01-12:12 AM",7.1294
"2011-01-13:12 AM",19.1988
"2011-01-14:12 AM",29.8654
"2011-01-15:12 AM",33.2722
"2011-01-16:12 AM",27.7902
"2011-01-17:12 AM",39.4453
"2011-01-18:12 AM",32.8131
"2011-01-19:12 AM",23.6885
"2011-01-20:12 AM",18.3277
"2011-01-21:12 AM",26.9528
"2011-01-22:12 AM",33.4177
"2011-01-23:12 AM",25.7731
"2011-01-24:12 AM",29.3923
"2011-01-25:12 AM",30.4952
"2011-01-26:12 AM",32.2662
"2011-01-27:12 AM",39.8017
"2011-01-28:12 AM",45.6264
"2011-01-29:12 AM",45.0624
"2011-01-30:12 AM",30.3577
"2011-01-31:12 AM",24.9219
"2011-02-01:12 AM",8.4283
"2011-02-02:12 AM",4.5255
"2011-02-03:12 AM",8.1907
"2011-02-04:12 AM",20.1159
"2011-02-05:12 AM",32.8678
"2011-02-06:12 AM",34.7736
"2011-02-07:12 AM",28.1586
