"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2010-10-13:12 AM",55.891
"2010-10-14:12 AM",53.0258
"2010-10-15:12 AM",51.5588
"2010-10-16:12 AM",52.5137
"2010-10-17:12 AM",56.9057
"2010-10-18:12 AM",55.9386
"2010-10-19:12 AM",54.5693
"2010-10-20:12 AM",50.756
"2010-10-21:12 AM",53.1095
"2010-10-22:12 AM",49.0028
"2010-10-23:12 AM",52.0578
"2010-10-24:12 AM",60.5745
"2010-10-25:12 AM",64.4792
"2010-10-26:12 AM",66.9272
"2010-10-27:12 AM",73.2961
"2010-10-28:12 AM",64.4671
"2010-10-29:12 AM",47.9804
"2010-10-30:12 AM",46.2245
"2010-10-31:12 AM",51.3019
"2010-11-01:12 AM",45.3992
"2010-11-02:12 AM",38.2766
"2010-11-03:12 AM",42.5421
"2010-11-04:12 AM",47.0012
"2010-11-05:12 AM",44.7566
"2010-11-06:12 AM",42.665
"2010-11-07:12 AM",39.2783
"2010-11-08:12 AM",43.8948
"2010-11-09:12 AM",48.4115
"2010-11-10:12 AM",49.932
"2010-11-11:12 AM",46.9953
"2010-11-12:12 AM",45.7664
"2010-11-13:12 AM",45.486
"2010-11-14:12 AM",45.0275
"2010-11-15:12 AM",46.728
"2010-11-16:12 AM",52.8283
"2010-11-17:12 AM",52.5969
"2010-11-18:12 AM",44.7395
"2010-11-19:12 AM",41.1278
"2010-11-20:12 AM",45.887
"2010-11-21:12 AM",44.9492
"2010-11-22:12 AM",52.8323
"2010-11-23:12 AM",57.2778
"2010-11-24:12 AM",41.5823
"2010-11-25:12 AM",46.3955
"2010-11-26:12 AM",50.2929
"2010-11-27:12 AM",35.2274
"2010-11-28:12 AM",34.2554
"2010-11-29:12 AM",36.068
"2010-11-30:12 AM",52.8796
"2010-12-01:12 AM",49.7003
"2010-12-02:12 AM",33.0931
"2010-12-03:12 AM",31.8862
"2010-12-04:12 AM",31.6629
"2010-12-05:12 AM",30.5852
"2010-12-06:12 AM",28.6957
"2010-12-07:12 AM",26.6014
"2010-12-08:12 AM",25.1272
"2010-12-09:12 AM",25.2644
"2010-12-10:12 AM",27.6008
"2010-12-11:12 AM",31.1261
"2010-12-12:12 AM",39.9528
"2010-12-13:12 AM",27.1481
"2010-12-14:12 AM",21.6185
"2010-12-15:12 AM",21.4759
"2010-12-16:12 AM",20.5525
"2010-12-17:12 AM",24.9876
