"DateTime","(deg F) Mean Temperature (CFSR) at Maine, 2010-01-01 to 2019-03-14"
"2011-01-19:12 AM",25.8913
"2011-01-20:12 AM",10.5404
"2011-01-21:12 AM",14.4721
"2011-01-22:12 AM",4.1938
"2011-01-23:12 AM",-0.5202
"2011-01-24:12 AM",-9.1448
"2011-01-25:12 AM",0.3385
"2011-01-26:12 AM",10.8745
"2011-01-27:12 AM",16.9164
"2011-01-28:12 AM",12.5989
"2011-01-29:12 AM",17.1577
"2011-01-30:12 AM",12.8709
"2011-01-31:12 AM",2.5632
"2011-02-01:12 AM",7.4273
"2011-02-02:12 AM",9.1261
"2011-02-03:12 AM",8.9832
"2011-02-04:12 AM",14.4142
"2011-02-05:12 AM",17.8178
"2011-02-06:12 AM",26.0564
"2011-02-07:12 AM",21.7924
"2011-02-08:12 AM",24.5883
"2011-02-09:12 AM",7.6318
"2011-02-10:12 AM",9.0423
"2011-02-11:12 AM",6.6659
"2011-02-12:12 AM",16.9101
"2011-02-13:12 AM",12.1181
"2011-02-14:12 AM",27.1602
"2011-02-15:12 AM",8.2033
"2011-02-16:12 AM",11.9145
"2011-02-17:12 AM",26.4632
"2011-02-18:12 AM",33.7656
"2011-02-19:12 AM",25.4426
"2011-02-20:12 AM",12.3494
"2011-02-21:12 AM",8.4157
"2011-02-22:12 AM",8.1502
"2011-02-23:12 AM",11.0134
"2011-02-24:12 AM",14.6538
"2011-02-25:12 AM",24.9321
"2011-02-26:12 AM",8.5381
"2011-02-27:12 AM",7.6451
"2011-02-28:12 AM",23.351
"2011-03-01:12 AM",16.4561
"2011-03-02:12 AM",21.1546
"2011-03-03:12 AM",-0.2861
"2011-03-04:12 AM",4.4091
"2011-03-05:12 AM",30.3908
"2011-03-06:12 AM",36.4267
"2011-03-07:12 AM",24.9436
"2011-03-08:12 AM",14.2086
"2011-03-09:12 AM",12.6007
"2011-03-10:12 AM",25.792
"2011-03-11:12 AM",34.6357
"2011-03-12:12 AM",35.4868
"2011-03-13:12 AM",32.2939
"2011-03-14:12 AM",20.5029
"2011-03-15:12 AM",23.4219
"2011-03-16:12 AM",31.3993
"2011-03-17:12 AM",34.6237
"2011-03-18:12 AM",36.9565
"2011-03-19:12 AM",24.0307
"2011-03-20:12 AM",23.6694
"2011-03-21:12 AM",27.9133
"2011-03-22:12 AM",30.2059
"2011-03-23:12 AM",25.7445
"2011-03-24:12 AM",24.7226
"2011-03-25:12 AM",22.5727
"2011-03-26:12 AM",20.7419
"2011-03-27:12 AM",17.1111
"2011-03-28:12 AM",21.7589
"2011-03-29:12 AM",27.8749
"2011-03-30:12 AM",30.2482
"2011-03-31:12 AM",32.8885
"2011-04-01:12 AM",31.6089
"2011-04-02:12 AM",32.1744
"2011-04-03:12 AM",32.0144
"2011-04-04:12 AM",31.0275
"2011-04-05:12 AM",36.1796
"2011-04-06:12 AM",29.7185
"2011-04-07:12 AM",28.015
"2011-04-08:12 AM",28.5123
"2011-04-09:12 AM",35.0085
"2011-04-10:12 AM",39.1599
"2011-04-11:12 AM",44.4844
"2011-04-12:12 AM",45.4163
"2011-04-13:12 AM",36.1395
"2011-04-14:12 AM",36.9331
"2011-04-15:12 AM",26.0973
"2011-04-16:12 AM",29.5043
"2011-04-17:12 AM",38.4715
"2011-04-18:12 AM",36.5941
"2011-04-19:12 AM",36.181
"2011-04-20:12 AM",32.7085
"2011-04-21:12 AM",34.3144
"2011-04-22:12 AM",36.1315
"2011-04-23:12 AM",35.456
"2011-04-24:12 AM",42.2019
"2011-04-25:12 AM",42.9667
"2011-04-26:12 AM",45.469
"2011-04-27:12 AM",46.5463
"2011-04-28:12 AM",53.7381
"2011-04-29:12 AM",52.3605
"2011-04-30:12 AM",44.0668
"2011-05-01:12 AM",43.7632
"2011-05-02:12 AM",47.5423
"2011-05-03:12 AM",48.9632
"2011-05-04:12 AM",45.0396
"2011-05-05:12 AM",41.0488
"2011-05-06:12 AM",44.3899
"2011-05-07:12 AM",48.8887
"2011-05-08:12 AM",47.9367
"2011-05-09:12 AM",46.7263
"2011-05-10:12 AM",43.945
"2011-05-11:12 AM",45.8623
"2011-05-12:12 AM",46.5523
"2011-05-13:12 AM",51.62
"2011-05-14:12 AM",47.0242
"2011-05-15:12 AM",45.0763
"2011-05-16:12 AM",39.6673
"2011-05-17:12 AM",42.181
"2011-05-18:12 AM",48.9603
"2011-05-19:12 AM",52.9383
"2011-05-20:12 AM",54.7966
"2011-05-21:12 AM",51.6416
"2011-05-22:12 AM",47.9953
"2011-05-23:12 AM",46.4349
"2011-05-24:12 AM",55.3982
"2011-05-25:12 AM",55.8619
"2011-05-26:12 AM",57.3946
"2011-05-27:12 AM",56.4998
"2011-05-28:12 AM",52.5632
"2011-05-29:12 AM",58.0413
"2011-05-30:12 AM",64.1061
"2011-05-31:12 AM",60.2056
"2011-06-01:12 AM",63.5835
"2011-06-02:12 AM",54.6996
"2011-06-03:12 AM",48.9738
"2011-06-04:12 AM",50.9711
"2011-06-05:12 AM",54.9925
"2011-06-06:12 AM",58.7451
"2011-06-07:12 AM",59.4784
"2011-06-08:12 AM",63.3299
"2011-06-09:12 AM",67.1635
"2011-06-10:12 AM",59.5387
"2011-06-11:12 AM",56.7086
"2011-06-12:12 AM",49.959
"2011-06-13:12 AM",49.5981
"2011-06-14:12 AM",52.6698
"2011-06-15:12 AM",58.7127
"2011-06-16:12 AM",62.2157
"2011-06-17:12 AM",63.7507
"2011-06-18:12 AM",60.0809
"2011-06-19:12 AM",56.8193
"2011-06-20:12 AM",58.6225
"2011-06-21:12 AM",61.9637
"2011-06-22:12 AM",61.2597
"2011-06-23:12 AM",58.8569
"2011-06-24:12 AM",54.6505
"2011-06-25:12 AM",51.8346
"2011-06-26:12 AM",58.8115
"2011-06-27:12 AM",64.0593
"2011-06-28:12 AM",64.6547
"2011-06-29:12 AM",60.1212
"2011-06-30:12 AM",59.9707
"2011-07-01:12 AM",60.2485
"2011-07-02:12 AM",63.075
"2011-07-03:12 AM",63.4987
"2011-07-04:12 AM",66.29
"2011-07-05:12 AM",68.2279
"2011-07-06:12 AM",68.7745
"2011-07-07:12 AM",64.2492
"2011-07-08:12 AM",61.9299
"2011-07-09:12 AM",63.4755
"2011-07-10:12 AM",65.1085
"2011-07-11:12 AM",69.5188
"2011-07-12:12 AM",70.5448
"2011-07-13:12 AM",64.7892
"2011-07-14:12 AM",60.0075
"2011-07-15:12 AM",62.6139
"2011-07-16:12 AM",68.1013
"2011-07-17:12 AM",70.835
"2011-07-18:12 AM",71.2699
"2011-07-19:12 AM",67.001
"2011-07-20:12 AM",67.4362
"2011-07-21:12 AM",71.5975
"2011-07-22:12 AM",74.5851
"2011-07-23:12 AM",73.0252
"2011-07-24:12 AM",64.3903
"2011-07-25:12 AM",61.7387
"2011-07-26:12 AM",58.811
"2011-07-27:12 AM",62.4324
"2011-07-28:12 AM",63.7457
"2011-07-29:12 AM",64.6749
"2011-07-30:12 AM",65.6033
"2011-07-31:12 AM",63.9876
"2011-08-01:12 AM",66.2313
"2011-08-02:12 AM",62.8754
"2011-08-03:12 AM",60.5392
"2011-08-04:12 AM",60.7982
"2011-08-05:12 AM",63.0941
"2011-08-06:12 AM",68.1355
"2011-08-07:12 AM",64.9267
"2011-08-08:12 AM",63.4714
"2011-08-09:12 AM",63.3214
"2011-08-10:12 AM",58.5082
"2011-08-11:12 AM",59.9396
"2011-08-12:12 AM",60.5088
"2011-08-13:12 AM",64.5274
"2011-08-14:12 AM",65.5731
"2011-08-15:12 AM",62.1743
"2011-08-16:12 AM",59.8084
"2011-08-17:12 AM",61.1413
"2011-08-18:12 AM",64.3705
"2011-08-19:12 AM",66.5076
"2011-08-20:12 AM",66.3219
"2011-08-21:12 AM",66.243
"2011-08-22:12 AM",63.378
"2011-08-23:12 AM",57.3066
"2011-08-24:12 AM",62.2063
"2011-08-25:12 AM",65.2046
"2011-08-26:12 AM",63.6759
"2011-08-27:12 AM",62.2477
"2011-08-28:12 AM",63.2962
"2011-08-29:12 AM",60.1369
"2011-08-30:12 AM",58.8771
"2011-08-31:12 AM",60.1315
"2011-09-01:12 AM",58.536
"2011-09-02:12 AM",58.1164
"2011-09-03:12 AM",61.8044
"2011-09-04:12 AM",66.1473
"2011-09-05:12 AM",66.1293
"2011-09-06:12 AM",59.1229
"2011-09-07:12 AM",54.5968
