"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2010-08-30:12 AM",70.8031
"2010-08-31:12 AM",71.436
"2010-09-01:12 AM",73.776
"2010-09-02:12 AM",74.3481
"2010-09-03:12 AM",68.8449
"2010-09-04:12 AM",70.4442
"2010-09-05:12 AM",74.1997
"2010-09-06:12 AM",74.7408
"2010-09-07:12 AM",71.1504
"2010-09-08:12 AM",69.1752
"2010-09-09:12 AM",70.2588
"2010-09-10:12 AM",68.5483
"2010-09-11:12 AM",66.9873
"2010-09-12:12 AM",69.2605
"2010-09-13:12 AM",70.302
"2010-09-14:12 AM",71.5017
"2010-09-15:12 AM",73.5305
"2010-09-16:12 AM",72.5554
"2010-09-17:12 AM",70.6806
"2010-09-18:12 AM",72.3693
"2010-09-19:12 AM",71.6592
"2010-09-20:12 AM",69.7217
"2010-09-21:12 AM",71.5266
"2010-09-22:12 AM",66.0031
"2010-09-23:12 AM",65.9574
"2010-09-24:12 AM",65.6884
"2010-09-25:12 AM",67.8146
"2010-09-26:12 AM",66.2963
"2010-09-27:12 AM",67.2712
"2010-09-28:12 AM",69.6783
"2010-09-29:12 AM",71.3376
"2010-09-30:12 AM",69.7969
"2010-10-01:12 AM",69.6078
"2010-10-02:12 AM",67.3453
"2010-10-03:12 AM",63.8294
"2010-10-04:12 AM",62.29
"2010-10-05:12 AM",62.3651
"2010-10-06:12 AM",63.0279
"2010-10-07:12 AM",64.0686
"2010-10-08:12 AM",62.4537
"2010-10-09:12 AM",59.7033
"2010-10-10:12 AM",58.5581
"2010-10-11:12 AM",57.0342
"2010-10-12:12 AM",58.1385
"2010-10-13:12 AM",57.9412
"2010-10-14:12 AM",58.8726
"2010-10-15:12 AM",60.46
"2010-10-16:12 AM",60.4967
"2010-10-17:12 AM",60.3451
"2010-10-18:12 AM",59.7965
"2010-10-19:12 AM",56.9151
"2010-10-20:12 AM",57.6124
"2010-10-21:12 AM",54.6624
"2010-10-22:12 AM",49.7367
"2010-10-23:12 AM",50.3641
"2010-10-24:12 AM",51.9384
"2010-10-25:12 AM",54.7032
"2010-10-26:12 AM",47.8171
"2010-10-27:12 AM",46.2684
"2010-10-28:12 AM",45.8895
"2010-10-29:12 AM",51.6562
"2010-10-30:12 AM",57.9281
"2010-10-31:12 AM",55.1097
"2010-11-01:12 AM",50.0241
"2010-11-02:12 AM",48.6487
"2010-11-03:12 AM",52.0669
"2010-11-04:12 AM",48.7798
"2010-11-05:12 AM",48.8268
"2010-11-06:12 AM",51.9307
"2010-11-07:12 AM",52.9718
"2010-11-08:12 AM",52.3515
"2010-11-09:12 AM",47.896
"2010-11-10:12 AM",39.8023
"2010-11-11:12 AM",41.324
"2010-11-12:12 AM",38.4292
"2010-11-13:12 AM",35.5622
"2010-11-14:12 AM",37.494
"2010-11-15:12 AM",39.6959
"2010-11-16:12 AM",40.874
"2010-11-17:12 AM",41.9931
"2010-11-18:12 AM",39.8903
"2010-11-19:12 AM",44.0771
"2010-11-20:12 AM",48.8343
"2010-11-21:12 AM",47.0098
"2010-11-22:12 AM",42.7883
"2010-11-23:12 AM",37.9612
"2010-11-24:12 AM",42.6943
"2010-11-25:12 AM",32.3364
"2010-11-26:12 AM",27.2313
"2010-11-27:12 AM",34.3751
"2010-11-28:12 AM",37.3564
"2010-11-29:12 AM",30.7477
"2010-11-30:12 AM",25.8865
"2010-12-01:12 AM",34.3944
"2010-12-02:12 AM",41.3335
"2010-12-03:12 AM",45.9797
"2010-12-04:12 AM",44.238
"2010-12-05:12 AM",39.8455
"2010-12-06:12 AM",41.1388
"2010-12-07:12 AM",42.5496
"2010-12-08:12 AM",37.9486
"2010-12-09:12 AM",42.634
"2010-12-10:12 AM",45.0959
"2010-12-11:12 AM",44.0899
"2010-12-12:12 AM",37.783
"2010-12-13:12 AM",41.7556
"2010-12-14:12 AM",45.7902
"2010-12-15:12 AM",47.9543
"2010-12-16:12 AM",40.127
"2010-12-17:12 AM",36.0109
"2010-12-18:12 AM",36.273
"2010-12-19:12 AM",43.7592
"2010-12-20:12 AM",46.4911
"2010-12-21:12 AM",46.1313
"2010-12-22:12 AM",44.7561
"2010-12-23:12 AM",40.696
"2010-12-24:12 AM",37.8799
"2010-12-25:12 AM",35.1234
"2010-12-26:12 AM",35.3327
"2010-12-27:12 AM",36.8634
"2010-12-28:12 AM",37.3183
"2010-12-29:12 AM",36.4307
"2010-12-30:12 AM",36.387
"2010-12-31:12 AM",22.2408
"2011-01-01:12 AM",13.9289
"2011-01-02:12 AM",17.3554
"2011-01-03:12 AM",25.8703
"2011-01-04:12 AM",28.402
"2011-01-05:12 AM",28.7789
"2011-01-06:12 AM",30.756
"2011-01-07:12 AM",35.3156
"2011-01-08:12 AM",34.1609
"2011-01-09:12 AM",34.5157
"2011-01-10:12 AM",30.331
"2011-01-11:12 AM",21.8419
"2011-01-12:12 AM",26.5023
"2011-01-13:12 AM",28.9918
"2011-01-14:12 AM",35.0931
"2011-01-15:12 AM",36.6157
"2011-01-16:12 AM",37.5381
"2011-01-17:12 AM",43.4718
"2011-01-18:12 AM",43.2361
"2011-01-19:12 AM",43.2748
"2011-01-20:12 AM",34.5103
"2011-01-21:12 AM",34.914
"2011-01-22:12 AM",37.8428
"2011-01-23:12 AM",35.2317
"2011-01-24:12 AM",32.9009
"2011-01-25:12 AM",30.6082
"2011-01-26:12 AM",32.4649
"2011-01-27:12 AM",34.3803
"2011-01-28:12 AM",38.0851
"2011-01-29:12 AM",40.9019
"2011-01-30:12 AM",40.7628
"2011-01-31:12 AM",37.722
"2011-02-01:12 AM",21.1125
"2011-02-02:12 AM",5.2282
"2011-02-03:12 AM",1.1955
"2011-02-04:12 AM",15.8016
"2011-02-05:12 AM",28.4965
"2011-02-06:12 AM",29.0322
"2011-02-07:12 AM",27.129
"2011-02-08:12 AM",31.2789
"2011-02-09:12 AM",19.3411
"2011-02-10:12 AM",20.5203
"2011-02-11:12 AM",26.965
"2011-02-12:12 AM",32.8404
"2011-02-13:12 AM",39.7726
"2011-02-14:12 AM",44.0001
"2011-02-15:12 AM",45.9498
