DateTime,Temp
1981-02-02,24.0283
1981-02-03,26.9735
1981-02-04,27.1504
1981-02-05,28.674
1981-02-06,29.7612
1981-02-07,28.6273
1981-02-08,27.855
1981-02-09,26.7926
1981-02-10,19.0915
1981-02-11,20.9338
1981-02-12,30.3492
1981-02-13,35.5683
1981-02-14,40.1601
1981-02-15,41.2621
1981-02-16,43.5177
1981-02-17,45.4413
1981-02-18,44.5158
1981-02-19,47.0413
1981-02-20,44.0407
1981-02-21,38.4033
1981-02-22,39.1455
1981-02-23,42.5388
1981-02-24,43.1173
1981-02-25,41.7018
1981-02-26,40.7527
1981-02-27,40.1346
1981-02-28,38.8384
1981-03-01,40.0685
1981-03-02,39.4488
1981-03-03,40.0915
1981-03-04,38.5275
1981-03-05,37.5472
1981-03-06,36.754
1981-03-07,36.2647
1981-03-08,37.1275
1981-03-09,38.2843
1981-03-10,39.63
1981-03-11,41.3562
1981-03-12,42.4101
1981-03-13,41.6001
1981-03-14,42.8367
1981-03-15,43.8091
1981-03-16,44.6293
1981-03-17,41.6678
1981-03-18,38.1571
1981-03-19,39.7778
1981-03-20,41.3523
1981-03-21,39.5236
1981-03-22,41.5242
1981-03-23,43.3004
1981-03-24,44.7634
1981-03-25,46.0535
1981-03-26,45.8191
1981-03-27,43.8573
1981-03-28,43.6579
1981-03-29,44.2247
1981-03-30,43.4691
1981-03-31,42.6857
1981-04-01,45.4086
1981-04-02,46.8496
1981-04-03,42.5565
1981-04-04,40.1679
1981-04-05,43.0239
1981-04-06,46.1201
1981-04-07,46.0783
1981-04-08,45.4942
1981-04-09,48.6088
1981-04-10,50.3217
1981-04-11,50.32899999999999
1981-04-12,50.9722
1981-04-13,49.9518
1981-04-14,48.9034
1981-04-15,52.2932
1981-04-16,55.4511
1981-04-17,56.2087
1981-04-18,55.3638
1981-04-19,51.7413
1981-04-20,50.5033
1981-04-21,52.4786
1981-04-22,53.0154
1981-04-23,56.2415
1981-04-24,57.8953
1981-04-25,57.9994
1981-04-26,57.7681
1981-04-27,56.778999999999996
1981-04-28,57.7335
1981-04-29,61.7657
1981-04-30,63.0455
1981-05-01,61.7166
1981-05-02,59.2239
1981-05-03,55.1181
1981-05-04,53.2827
1981-05-05,53.3737
1981-05-06,51.8158
1981-05-07,50.5873
1981-05-08,50.6876
1981-05-09,51.3891
1981-05-10,52.7315
1981-05-11,53.2872
1981-05-12,53.9717
1981-05-13,54.48
1981-05-14,55.4157
1981-05-15,54.5511
1981-05-16,51.5129
1981-05-17,52.2477
1981-05-18,54.383
1981-05-19,55.0423
1981-05-20,55.72
1981-05-21,56.3477
1981-05-22,57.4322
1981-05-23,59.028999999999996
1981-05-24,59.5821
1981-05-25,60.9588
1981-05-26,61.6089
1981-05-27,62.2222
1981-05-28,64.0094
1981-05-29,63.3585
1981-05-30,62.1988
1981-05-31,62.411
