"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 2010-01-01 to 2019-03-13"
"2010-12-29:12 AM",33.487
"2010-12-30:12 AM",25.5619
"2010-12-31:12 AM",16.0263
"2011-01-01:12 AM",11.7716
"2011-01-02:12 AM",18.1848
"2011-01-03:12 AM",20.9653
"2011-01-04:12 AM",21.8509
"2011-01-05:12 AM",26.1741
"2011-01-06:12 AM",30.148
"2011-01-07:12 AM",31.51
"2011-01-08:12 AM",29.3817
"2011-01-09:12 AM",24.3444
"2011-01-10:12 AM",17.3615
"2011-01-11:12 AM",14.4426
"2011-01-12:12 AM",20.6233
"2011-01-13:12 AM",29.4692
"2011-01-14:12 AM",33.1725
"2011-01-15:12 AM",33.2042
"2011-01-16:12 AM",35.6882
"2011-01-17:12 AM",38.7973
"2011-01-18:12 AM",33.6889
"2011-01-19:12 AM",31.3227
"2011-01-20:12 AM",26.1428
"2011-01-21:12 AM",31.4314
"2011-01-22:12 AM",33.211
"2011-01-23:12 AM",31.3585
"2011-01-24:12 AM",32.0081
"2011-01-25:12 AM",33.0021
"2011-01-26:12 AM",33.514
"2011-01-27:12 AM",35.5735
"2011-01-28:12 AM",37.4023
"2011-01-29:12 AM",35.7114
"2011-01-30:12 AM",30.4682
"2011-01-31:12 AM",24.2722
"2011-02-01:12 AM",14.0396
"2011-02-02:12 AM",11.2476
"2011-02-03:12 AM",19.1001
"2011-02-04:12 AM",28.557
"2011-02-05:12 AM",34.5659
"2011-02-06:12 AM",31.8319
"2011-02-07:12 AM",28.7602
"2011-02-08:12 AM",22.7471
"2011-02-09:12 AM",18.4561
"2011-02-10:12 AM",23.4837
"2011-02-11:12 AM",29.5849
"2011-02-12:12 AM",35.7582
"2011-02-13:12 AM",39.2859
"2011-02-14:12 AM",39.173
"2011-02-15:12 AM",41.1706
"2011-02-16:12 AM",41.1337
"2011-02-17:12 AM",37.3548
"2011-02-18:12 AM",33.4805
"2011-02-19:12 AM",33.4692
"2011-02-20:12 AM",30.0115
